date,open,high,low,close,volume
2010-01-04,172.0,172.0,169.31,169.94,4430488.0
2010-01-05,170.99,171.5,169.0,169.44,3151318.0
2010-01-06,168.99,169.5,166.31,166.76,3988903.0
2010-01-07,166.76,167.19,161.88,163.72,4882555.0
2010-01-08,164.0,164.0,160.1,162.0,3670209.0
2010-01-11,163.6,164.9,160.5,161.29,2446103.0
2010-01-12,161.45,166.17,160.61,165.65,3106340.0
2010-01-13,163.99,165.15,161.0,161.44,3792444.0
2010-01-14,162.0,169.2,162.0,168.54,4645464.0
2010-01-15,168.51,173.38,168.51,169.87,4593850.0
2010-01-18,170.0,172.26,169.9,170.98,2146153.0
2010-01-19,170.99,171.5,169.5,169.77,1781891.0
2010-01-20,169.91,170.15,165.8,165.92,2097295.0
2010-01-21,165.86,168.38,165.5,166.73,1725748.0
2010-01-22,166.6,167.29,161.89,164.13,2543294.0
2010-01-25,163.85,167.3,162.51,166.04,2323915.0
2010-01-26,168.27,170.17,164.6,166.7,3288916.0
2010-01-27,166.03,167.78,163.6,163.98,1931657.0
2010-01-28,163.86,170.35,163.5,169.2,3026752.0
2010-01-29,169.95,170.2,167.68,168.54,3717282.0
2010-02-01,168.88,169.58,167.01,168.89,2965594.0
2010-02-02,168.0,170.0,166.29,166.52,1549353.0
2010-02-03,166.21,168.1,164.2,165.93,2303465.0
2010-02-04,165.9,169.25,165.13,168.6,2247533.0
2010-02-05,167.61,171.88,167.0,171.25,2623430.0
2010-02-08,171.25,175.6,170.52,171.23,3149610.0
2010-02-09,172.0,173.33,170.53,171.11,1415124.0
2010-02-10,172.0,172.59,170.7,171.83,639814.0
2010-02-11,171.8,174.44,171.6,173.38,1494505.0
2010-02-12,173.97,174.2,172.2,173.09,934640.0
2010-02-22,173.0,173.1,169.07,169.08,1217808.0
2010-02-23,169.25,170.5,164.7,166.75,2356213.0
2010-02-24,166.76,168.6,165.5,167.92,990427.0
2010-02-25,166.9,170.0,166.9,168.25,1531396.0
2010-02-26,168.98,168.98,166.6,166.84,1033858.0
